symbol,strategy,total_return_pct,num_trades,win_rate,max_drawdown,sharpe_ratio
BTCUSDT,ma_crossover_signal,-92.1432503444875,666,33.033033033033036,92.6370084813297,-0.09614076591676429
BTCUSDT,rsi_signal,-94.64664729787735,319,61.12852664576802,96.84659339778148,-0.10841209401791874
BTCUSDT,macd_signal_crossover,-85.58220424161844,954,36.68763102725367,89.56598841647117,-0.04533715902775385
BTCUSDT,bb_signal,-88.71117464929272,289,64.01384083044984,90.12302629675914,-0.045116842814829784
BTCUSDT,combined_signal_1,-95.66172650012118,51,39.21568627450981,98.45371167655031,-0.14673069323262436
BTCUSDT,combined_signal_2,-89.12640252053352,21,61.904761904761905,96.56521034750503,0.008863737480133868
ETHUSDT,ma_crossover_signal,-79.07749589351153,639,35.2112676056338,92.17460744241997,0.07202404114466247
ETHUSDT,rsi_signal,-100.01012042637743,356,39.04494382022472,100.16700129692464,-0.022786218462501208
ETHUSDT,macd_signal_crossover,-96.22330830428464,1000,37.9,97.53109314209502,-0.045117670187625296
ETHUSDT,bb_signal,-98.02331593420223,294,63.94557823129252,98.79054968536224,-0.03654687834400737
ETHUSDT,combined_signal_1,-150.01247086123436,40,45.0,190.110905665738,0.10311176942632132
ETHUSDT,combined_signal_2,-120.83164356945532,22,54.54545454545454,171.96978010766514,0.060750346590276165
XRPUSDT,ma_crossover_signal,-30.03193805529995,684,35.08771929824561,91.97987072614033,0.1925521570015891
XRPUSDT,rsi_signal,-99.72027071747769,342,64.91228070175438,99.9232354729742,0.043302266493447907
XRPUSDT,macd_signal_crossover,-54.18856119995583,974,38.29568788501027,89.16211710542015,0.17403368822991946
XRPUSDT,bb_signal,-100.2865428806549,272,42.279411764705884,101.12332134227047,0.03951802337764498
XRPUSDT,combined_signal_1,-97.79078090976114,25,64.0,112.42243582113186,0.09773750654263816
XRPUSDT,combined_signal_2,-132.2338827948624,15,53.333333333333336,128.78566860731462,0.04400606917006631
